------------------------------------------------------------
        Haribhau Automation Systems
        File Checksum Report
------------------------------------------------------------

Directory        : C:\Users\asus\Downloads\LB
Log created at   : Fri Feb  6 15:14:50 2026
Total Files      : 371

------------------------------------------------------------
Filename                       MD5 Checksum                        Size (bytes)
------------------------------------------------------------
program91.java c12462eafc601803843f12cb3df0f46b 781
program92.class b84e67cd9832fde850312b82b827a07d 963
program92.java 740d9ad69cfb3c802ef8a8d2506da33d 317
program93.java e09526862e6b8bf0e625d3600755f99f 292
program94.java ca85c5e3a91c823121c35e8479ed9d24 356
program95.java eec4da6b9918ae8428fff6d77e3c78c1 314
program96.java 58976bc6fb7330b2a81ecf6368a8519f 334
program97.java e1f09667546fa08550c91a43d666de93 436
program98.java 848e9abaef97bb92e3e05ee00a6cbfbc 780
program99.java 450875fb3685c7f2caa676e4d4bb58d8 886
programhari.c 29df3cffba1fcb43c0286eba8a534eba 811
------------------------------------------------------------
